positive,negative,c_target,y-axis,mean_err,x-axis,uniqueness_score,homogeneity_score,approx_score,teaching_set
700,570,7,0.76,0.38,0.38,0.0,0.22727272727272727,0.46123271889400924,"(700, 570)"
714,255,7,0.56,0.5,0.5,0.0,0.13513513513513514,0.4637480798771122,"(714, 255)"
714,623,17,1.0,0.38,0.38,0.0007000000000000001,0.21621621621621623,0.40478110599078343,"(714, 623)"
715,440,13,0.8,0.53,0.53,0.11199999999999999,0.33986928104575165,0.44477726574500764,"(715, 440)"
715,455,11,0.6,0.55,0.55,0.04999999999999999,0.23109243697478987,0.48191244239631326,"(715, 455)"
715,572,5,0.81,0.61,0.61,0.03919999999999999,0.14705882352941174,0.596082949308756,"(715, 572)"
728,507,7,0.45,0.41,0.41,0.08640000000000002,0.21739130434782605,0.46307603686635945,"(728, 507)"
728,749,13,0.78,0.25,0.25,0.0,0.20543478260869563,0.4378456221198156,"(728, 749)"
735,755,7,0.52,0.64,0.64,0.00504,0.12777777777777777,0.46123271889400924,"(735, 755)"
735,819,5,0.82,0.59,0.59,0.015119999999999995,0.14545454545454545,0.6264976958525348,"(735, 819)"
748,34,11,0.46,0.31,0.31,0.0037800000000000012,0.20054945054945056,0.47252304147465424,"(748, 34)"
748,803,17,0.99,0.44,0.44,0.020929999999999997,0.25961538461538464,0.4182027649769585,"(748, 803)"
765,697,5,0.83,0.47,0.47,0.00405,0.22704081632653061,0.6014400921658989,"(765, 697)"
765,895,17,0.99,0.44999999999999996,0.44999999999999996,0.0006399999999999997,0.2020408163265306,0.4159562211981567,"(765, 895)"
770,715,7,0.84,0.51,0.51,0.0096,0.1645408163265306,0.4612903225806452,"(770, 715)"
770,847,5,0.87,0.41000000000000003,0.41000000000000003,0.0,0.22108843537414963,0.596082949308756,"(770, 847)"
770,875,11,0.63,0.39,0.39,0.0,0.1020408163265306,0.4648233486943163,"(770, 875)"
780,255,13,0.35,0.62,0.62,0.0,0.09183673469387754,0.44308755760368657,"(780, 255)"
