x,x-axis,c_target,y-axis,uniqueness_score,homogeneity_score,approx_score,teaching_set
380,0.75,5,0.29,0.0,0.21052631578947367,0.6204946996466429,380
391,0.64,17,0.08,0.0,0.23809523809523808,0.3837455830388691,391
392,0.73,7,0.01,0.0,0.2150537634408602,0.4445229681978797,392
395,0.65,5,0.02,0.0,0.23529411764705882,0.6204946996466429,395
396,0.79,11,0.07,0.0,0.20202020202020202,0.4296819787985864,396
399,0.7,7,0.92,0.0,0.2222222222222222,0.4445229681978797,399
400,0.02,5,0.0,0.9,0.9090909090909091,0.6204946996466429,400
403,0.35,13,0.19,0.08800000000000002,0.36363636363636365,0.3088339222614837,403
405,0.56,5,0.07,0.0023999999999999994,0.2631578947368421,0.6204946996466429,405
406,0.78,7,0.85,0.0,0.2040816326530612,0.4445229681978797,406
407,0.6,11,0.4,0.001546875000000001,0.17741935483870971,0.4296819787985864,407
408,0.8,17,0.85,0.0,0.2,0.3837455830388691,408
410,0.78,5,0.09,0.0,0.2040816326530612,0.6204946996466429,410
413,0.54,7,0.62,0.004826250000000005,0.21666666666666667,0.4445229681978797,413
415,0.54,5,0.02,0.0,0.27027027027027023,0.6204946996466429,415
416,0.76,13,0.03,0.0,0.20833333333333334,0.3088339222614837,416
418,0.79,11,0.87,0.0,0.17582417582417584,0.4296819787985864,418
427,0.54,7,0.7,0.011374999999999998,0.18518518518518517,0.4445229681978797,427
430,0.76,5,0.02,0.0,0.20833333333333334,0.6204946996466429,430
434,0.81,7,0.21,0.0,0.18556701030927833,0.4445229681978797,434
435,0.8,5,0.14,0.0,0.2,0.6204946996466429,435
441,0.52,7,0.47,0.0,0.2777777777777778,0.4445229681978797,441
445,0.8,5,0.01,0.0,0.2,0.6204946996466429,445
448,0.65,7,0.02,0.0,0.23529411764705882,0.4445229681978797,448
450,0.21,5,0.02,0.20250000000000004,0.48780487804878053,0.6204946996466429,450
451,0.5,11,0.19,0.022275000000000003,0.22222222222222224,0.4296819787985864,451
459,0.76,17,1.0,0.0,0.20833333333333334,0.3837455830388691,459
460,0.76,5,0.12,0.0,0.20833333333333334,0.6204946996466429,460
465,0.8,5,0.26,0.0,0.2,0.6204946996466429,465
468,0.8,13,0.17,0.0,0.2,0.3088339222614837,468
469,0.65,7,0.46,0.0024300000000000007,0.17391304347826086,0.4445229681978797,469
470,0.75,5,0.02,0.0,0.21052631578947367,0.6204946996466429,470
473,0.51,11,0.39,0.020475000000000007,0.1702127659574468,0.4296819787985864,473
475,0.62,5,0.0,0.0007000000000000001,0.24390243902439027,0.6204946996466429,475
480,0.59,5,0.02,0.0,0.25316455696202533,0.6204946996466429,480
481,0.55,13,0.51,0.0066825,0.2535211267605634,0.3088339222614837,481
483,0.75,7,0.9,0.0,0.21052631578947367,0.4445229681978797,483
484,0.78,11,0.0,0.0,0.2040816326530612,0.4296819787985864,484
485,0.62,5,0.09,0.0,0.24390243902439027,0.6204946996466429,485
493,0.64,17,0.42,0.0014437500000000012,0.17647058823529413,0.3837455830388691,493
494,0.78,13,0.95,0.0,0.2040816326530612,0.3088339222614837,494
497,0.52,7,0.86,0.010359374999999999,0.25757575757575757,0.4445229681978797,497
500,0.07,5,0.0,0.6649999999999999,0.7407407407407407,0.6204946996466429,500
504,0.78,7,0.03,0.0,0.2040816326530612,0.4445229681978797,504
505,0.79,5,0.0,0.0,0.20202020202020202,0.6204946996466429,505
506,0.81,11,0.32,0.0,0.1919191919191919,0.4296819787985864,506
507,0.76,13,0.42,0.0,0.20833333333333334,0.3088339222614837,507
511,0.72,7,0.66,0.0,0.175,0.4445229681978797,511
515,0.8,5,0.11,0.0,0.2,0.6204946996466429,515
517,0.62,11,0.13,0.000880000000000001,0.21621621621621623,0.4296819787985864,517
518,0.82,7,0.36,0.0,0.18367346938775508,0.4445229681978797,518
527,0.6,17,0.19,0.0012500000000000013,0.25,0.3837455830388691,527
528,0.8,11,0.03,0.0,0.2,0.4296819787985864,528
530,0.8,5,0.03,0.0,0.2,0.6204946996466429,530
532,0.82,7,0.46,0.0,0.17708333333333334,0.4445229681978797,532
533,0.67,13,0.3,0.0015187500000000001,0.19480519480519481,0.3088339222614837,533
535,0.76,5,0.0,0.0,0.20833333333333334,0.6204946996466429,535
540,0.66,5,0.06,0.00016875000000000042,0.23255813953488372,0.6204946996466429,540
544,0.79,17,0.36,0.0,0.20202020202020202,0.3837455830388691,544
545,0.79,5,0.03,0.0,0.20202020202020202,0.6204946996466429,545
553,0.77,7,0.95,0.0,0.1566265060240964,0.4445229681978797,553
555,0.72,5,0.09,0.0,0.2173913043478261,0.6204946996466429,555
559,0.68,13,0.12,0.0,0.22093023255813954,0.3088339222614837,559
565,0.79,5,0.07,0.0,0.20202020202020202,0.6204946996466429,565
567,0.63,7,0.96,0.0,0.24096385542168672,0.4445229681978797,567
570,0.8,5,0.13,0.0,0.2,0.6204946996466429,570
574,0.81,7,0.54,0.0,0.17894736842105263,0.4445229681978797,574
575,0.79,5,0.06,0.0,0.20202020202020202,0.6204946996466429,575
578,0.78,17,0.95,0.0,0.2040816326530612,0.3837455830388691,578
